,Tmc,Direction,stationid,highwayid,RoadNumb_1,direction,bound,standardized_direction_portal,standardized_direction_inrix,StartLat,StartLong,milepost,lon,lat,highwayname
433,114+04464,Northbound,1024,1,I-5,NORTH,NB,NORTH,NORTH,45.60125,-122.68349,307.46,-122.682589479773,45.60438576623,I-5
433,114+04464,Northbound,1024,1,I-5,NORTH,NB,NORTH,NORTH,45.60125,-122.68349,307.46,-122.682589479773,45.60438576623,I-5
1807,114N04397,Southbound,1052,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,19.25,-122.565522899718,45.501078021321,I-205
1807,114N04397,Southbound,1052,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,19.25,-122.565522899718,45.501078021321,I-205
1807,114N04397,Southbound,1052,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,19.25,-122.565522899718,45.501078021321,I-205
1807,114N04397,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,20.34,-122.565620428502,45.5166508192563,I-205
1807,114N04397,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,20.34,-122.565620428502,45.5166508192563,I-205
1807,114N04397,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,20.34,-122.565620428502,45.5166508192563,I-205
1807,114N04397,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,20.34,-122.565620428502,45.5166508192563,I-205
1807,114N04397,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.51042,-122.56569,20.34,-122.565620428502,45.5166508192563,I-205
1808,114N04401,Southbound,1141,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.55709,-122.56723,23.41,-122.5656895,45.55936563,I-205
1808,114N04401,Southbound,1141,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.55709,-122.56723,23.41,-122.5656895,45.55936563,I-205
1808,114N04401,Southbound,1141,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.55709,-122.56723,23.41,-122.5656895,45.55936563,I-205
1808,114N04401,Southbound,1141,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.55709,-122.56723,23.41,-122.5656895,45.55936563,I-205
1808,114N04401,Southbound,1141,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.55709,-122.56723,23.41,-122.5656895,45.55936563,I-205
1812,114N04455,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53482,-122.66675,302.17,-122.665358982962,45.5311420981339,I-5
1812,114N04455,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53482,-122.66675,302.17,-122.665358982962,45.5311420981339,I-5
1812,114N04455,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53482,-122.66675,302.17,-122.665358982962,45.5311420981339,I-5
1812,114N04455,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53482,-122.66675,302.17,-122.665358982962,45.5311420981339,I-5
3432,114-04454,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53175,-122.66539,302.17,-122.665358982962,45.5311420981339,I-5
3432,114-04454,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53175,-122.66539,302.17,-122.665358982962,45.5311420981339,I-5
3432,114-04454,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53175,-122.66539,302.17,-122.665358982962,45.5311420981339,I-5
3432,114-04454,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53175,-122.66539,302.17,-122.665358982962,45.5311420981339,I-5
3807,114+04402,Northbound,1140,3,I-205,NORTH,NB,NORTH,NORTH,45.55834,-122.56586,23.41,-122.560915657558,45.5623522212245,I-205
3807,114+04402,Northbound,1140,3,I-205,NORTH,NB,NORTH,NORTH,45.55834,-122.56586,23.41,-122.560915657558,45.5623522212245,I-205
3807,114+04402,Northbound,1140,3,I-205,NORTH,NB,NORTH,NORTH,45.55834,-122.56586,23.41,-122.560915657558,45.5623522212245,I-205
3807,114+04402,Northbound,1140,3,I-205,NORTH,NB,NORTH,NORTH,45.55834,-122.56586,23.41,-122.560915657558,45.5623522212245,I-205
3807,114+04402,Northbound,1140,3,I-205,NORTH,NB,NORTH,NORTH,45.55834,-122.56586,23.41,-122.560915657558,45.5623522212245,I-205
3807,114+04402,Northbound,1140,3,I-205,NORTH,NB,NORTH,NORTH,45.55834,-122.56586,23.41,-122.560915657558,45.5623522212245,I-205
3811,114+04465,Northbound,1025,1,I-5,NORTH,NB,NORTH,NORTH,45.60543,-122.68224,307.9,-122.67874280779,45.6119402412979,I-5
3811,114+04465,Northbound,1025,1,I-5,NORTH,NB,NORTH,NORTH,45.60543,-122.68224,307.9,-122.67874280779,45.6119402412979,I-5
3811,114+04465,Northbound,1024,1,I-5,NORTH,NB,NORTH,NORTH,45.60543,-122.68224,307.46,-122.682589479773,45.60438576623,I-5
3811,114+04465,Northbound,1024,1,I-5,NORTH,NB,NORTH,NORTH,45.60543,-122.68224,307.46,-122.682589479773,45.60438576623,I-5
3811,114+04465,Northbound,1025,1,I-5,NORTH,NB,NORTH,NORTH,45.60543,-122.68224,307.9,-122.67874280779,45.6119402412979,I-5
4374,114N04399,Southbound,1143,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.53512,-122.5643,21.12,-122.565532404858,45.5229274394201,I-205
4374,114N04399,Southbound,1143,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.53512,-122.5643,21.12,-122.565532404858,45.5229274394201,I-205
4374,114N04399,Southbound,1143,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.53512,-122.5643,21.12,-122.565532404858,45.5229274394201,I-205
4374,114N04399,Southbound,3135,7,I-205,EAST,EB,EAST,SOUTH,45.53512,-122.5643,5.82,-122.566109467251,45.5321557055501,I-84
4374,114N04399,Southbound,3135,7,I-205,EAST,EB,EAST,SOUTH,45.53512,-122.5643,5.82,-122.566109467251,45.5321557055501,I-84
4374,114N04399,Southbound,1145,609,I-205,WEST,WB,WEST,SOUTH,45.53512,-122.5643,5.7,-122.563989761228,45.5292386742316,DS
4374,114N04399,Southbound,1145,609,I-205,WEST,WB,WEST,SOUTH,45.53512,-122.5643,5.7,-122.563989761228,45.5292386742316,DS
4374,114N04399,Southbound,1145,609,I-205,WEST,WB,WEST,SOUTH,45.53512,-122.5643,5.7,-122.563989761228,45.5292386742316,DS
4375,114N04403,Southbound,1050,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.57449,-122.54641,24.66,-122.552076204132,45.5694761103253,I-205
4375,114N04403,Southbound,1050,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.57449,-122.54641,24.66,-122.552076204132,45.5694761103253,I-205
4375,114N04403,Southbound,1049,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.57449,-122.54641,24.77,-122.54886786424,45.5719093468691,I-205
4375,114N04403,Southbound,1049,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.57449,-122.54641,24.77,-122.54886786424,45.5719093468691,I-205
4375,114N04403,Southbound,1049,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.57449,-122.54641,24.77,-122.54886786424,45.5719093468691,I-205
4494,114-04399,Southbound,3105,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.54098,-122.56271,21.68,-122.564387394954,45.5348513160268,I-205
